Index,speed,dist,s.V,D.v,,,,,,,,S.Sk,di.sk,s.ku
1,4,2,2.5992,33.587208,-0.117509861,-0.50899442,,,,,,-0.21081069,-0.084599712,19.49667217
2,4,10,2.5992,21.753608,,,,Speed,Distance,,,-0.21081069,-0.044096587,19.49667217
3,7,4,1.4112,30.388808,,,Mean,15.4,42.98,,,-0.08433657,-0.072807904,3.631564814
4,7,22,1.4112,8.803208,,,Variance,27.4,650.7796,,,-0.08433657,-0.011351924,3.631564814
5,8,16,1.0952,14.558408,,,S.D,5.234500931,25.5103822,,,-0.057659814,-0.024142312,0.994162715
6,9,10,0.8192,21.753608,,,Skewness,-0.116280378,0.798452569,,,-0.037300787,-0.044096587,-0.76530236
7,10,18,0.5832,12.480008,,,Kurtosis,,,,,-0.022405743,-0.019161536,-1.867406894
8,10,26,0.5832,5.766408,,,,,,,,-0.022405743,-0.006018193,-1.867406894
9,10,34,0.5832,1.612808,,,,,,,,-0.022405743,-0.000890189,-1.867406894
10,11,17,0.3872,13.499208,,,,,,,,-0.012120935,-0.021556114,-2.500759763
11,11,28,0.3872,4.488008,,,,,,,,-0.012120935,-0.004132268,-2.500759763
12,12,14,0.2312,16.796808,,,,,,,,-0.005592614,-0.029919075,-2.822002238
13,12,20,0.2312,10.561608,,,,,,,,-0.005592614,-0.014917742,-2.822002238
14,12,24,0.2312,7.204808,,,,,,,,-0.005592614,-0.008405076,-2.822002238
15,12,28,0.2312,4.488008,,,,,,,,-0.005592614,-0.004132268,-2.822002238
16,13,26,0.1152,5.766408,,,,,,,,-0.001967034,-0.006018193,-2.955807981
17,13,34,0.1152,1.612808,,,,,,,,-0.001967034,-0.000890189,-2.955807981
18,13,34,0.1152,1.612808,,,,,,,,-0.001967034,-0.000890189,-2.955807981
19,13,46,0.1152,0.182408,,,,,,,,-0.001967034,3.3859E-05,-2.955807981
20,14,26,0.0392,5.766408,,,,,,,,-0.000390447,-0.006018193,-2.994883052
21,14,36,0.0392,0.974408,,,,,,,,-0.000390447,-0.000418041,-2.994883052
22,14,60,0.0392,5.793608,,,,,,,,-0.000390447,0.006060824,-2.994883052
23,14,80,0.0392,27.409608,,,,,,,,-0.000390447,0.062368065,-2.994883052
24,15,20,0.0032,10.561608,,,,,,,,-9.10664E-06,-0.014917742,-2.999965901
25,15,26,0.0032,5.766408,,,,,,,,-9.10664E-06,-0.006018193,-2.999965901
26,15,54,0.0032,2.428808,,,,,,,,-9.10664E-06,0.001645121,-2.999965901
27,16,32,0.0072,2.411208,,,,,,,,3.07349E-05,-0.001627272,-2.999827375
28,16,40,0.0072,0.177608,,,,,,,,3.07349E-05,-3.25313E-05,-2.999827375
29,17,32,0.0512,2.411208,,,,,,,,0.000582825,-0.001627272,-2.991270712
30,17,40,0.0512,0.177608,,,,,,,,0.000582825,-3.25313E-05,-2.991270712
31,17,50,0.0512,0.985608,,,,,,,,0.000582825,0.00042527,-2.991270712
32,18,42,0.1352,0.019208,,,,,,,,0.00250091,-1.15699E-06,-2.939131547
33,18,56,0.1352,3.390408,,,,,,,,0.00250091,0.002713226,-2.939131547
34,18,76,0.1352,21.806408,,,,,,,,0.00250091,0.04425723,-2.939131547
35,18,84,0.1352,33.652808,,,,,,,,0.00250091,0.084847684,-2.939131547
36,19,36,0.2592,0.974408,,,,,,,,0.006638739,-0.000418041,-2.776277905
37,19,46,0.2592,0.182408,,,,,,,,0.006638739,3.3859E-05,-2.776277905
38,19,68,0.2592,12.520008,,,,,,,,0.006638739,0.019253733,-2.776277905
39,20,32,0.4232,2.411208,,,,,,,,0.013850057,-0.001627272,-2.403610208
40,20,48,0.4232,0.504008,,,,,,,,0.013850057,0.000155512,-2.403610208
41,20,52,0.4232,1.627208,,,,,,,,0.013850057,0.000902137,-2.403610208
42,20,56,0.4232,3.390408,,,,,,,,0.013850057,0.002713226,-2.403610208
43,20,64,0.4232,8.836808,,,,,,,,0.013850057,0.011416978,-2.403610208
44,22,66,0.8712,10.598408,,,,,,,,0.040908154,0.014995777,-0.472596302
45,23,54,1.1552,2.428808,,,,,,,,0.062462427,0.001645121,1.443787096
46,24,70,1.4792,14.601608,,,,,,,,0.090505179,0.02424985,4.286058927
47,24,92,1.4792,48.059208,,,,,,,,0.090505179,0.144801461,4.286058927
48,24,93,1.4792,50.040008,,,,,,,,0.090505179,0.153845248,4.286058927
49,24,120,1.4792,118.641608,,,,,,,,0.090505179,0.56164716,4.286058927
50,25,85,1.8432,35.313608,,,,,,,,0.125890157,0.091205529,8.313156801
,,,,,,,,,,,,,,
,,,27.4,650.7796,,,,,,,,-0.116280378,0.798452569,-28.8573712
